store_id,carrier_id,commodity,volume,outage_time,delivery_time,reported_via,notes,closing_notes,cause,user_id
,,UNL,731,37:00.0,36:00.0,site called in,Carrier had a night shift change and are attempting to get to the site sooner. Site has just bagged up the pumps.,Pope is not a good carrier in Charlotte.,2: Carrier Issues,
,,UNL,400,29:58.0,35:00.0,site,400  in route,Carrier error pending carrier response,2: Carrier Issues,
,,UNL,497,00:00.0,00:00.0,site called,"Carrier is attempting to get to site sooner, running a bit behind schedule.","ATG stopped working, possible IP address change",8: Maintenance,
,,UNL,600,56:36.0,43:00.0,site,590/87  in route,Mani-folded tanks not working,8: Maintenance,
,,UNL,368,30:00.0,43:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,1189,17:00.0,01:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,722,00:00.0,03:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,897,50:00.0,40:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,1348,10:00.0,04:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,561,35:00.0,30:00.0,fuel pricing,NULL,NULL,2: Carrier Issues,
,,UNL,375,29:36.0,29:36.0,site,driver pushed a load back  ETA 6:30pm,"Per Site sales were high and they were abnormally busy...Site pumped down to 9"", but do not have tank charts.",3: Unpredictable Sales,
,,UNL,665,56:14.0,00:00.0,site,9 inches  they took secondary product last night,carrier only took secondary products the previous night and should have added unleaded,2: Carrier Issues,
,,UNL,599,23:17.0,24:00.0,phone,carrier said it was not scheduled and that he just got in to the office earlierst will be 11pm they can get it there. site is at 599 on the unl,"Carrier error, not scheduled",2: Carrier Issues,
,,UNL,600,22:42.0,30:00.0,phone,site is at 600 on the unl and no reason was provided per janice,NULL,2: Carrier Issues,
,,UNL,669,05:03.0,14:03.0,08/20/2017 00:00am,669/unl.. kenan has been called and email sent out .. rc,"2935 was the ending volume, carrier was able to drop a compartment.",2: Carrier Issues,
,,UNL,490,57:00.0,57:00.0,site called,Carrier advised they cannot deliver until the site maintenance issue is fixed. Site will call back when issue is resolved.,Carrier advised they cannot deliver until the site maintenance issue is fixed. Site will call back when issue is resolved.,11: Site Inaccessible,
,,UNL,595,46:29.0,30:00.0,phone,per carrier- site needed DSL- they were waiting for allocation for DSL and while waiting for DSL- site ran out of UNL-,NULL,2: Carrier Issues,
,,UNL,244,13:01.0,23:00.0,[hone,per carrier no reason why site ran out of unl- will get a delivery asap,"No reason given, carrier error",2: Carrier Issues,
,,UNL,731,50:26.0,31:26.0,8/21/2017 3:51,"745/unl.. called klemm eta given 645 am,, no reason was given on why site is out just that the earliest was 1st out on the am driver.. rc",Carrier Error.,2: Carrier Issues,
,,UNL,601,00:00.0,53:17.0,email,carrier issue,carrier says store gives wrong readings. (call back store for outage volume),2: Carrier Issues,
,,UNL,656,56:00.0,58:00.0,email,"they were not able to deliver fuel to 3373 because the other 2 stores they were delivering to are high volume and they were keeping up with them. However, according to Titan they last delivered to their other 2 stores on Friday and Saturday. There were no deliveries to these sites on Sunday.","they were not able to deliver fuel to 3373 because the other 2 stores they were delivering to are high volume and they were keeping up with them. However, according to Titan they last delivered to their other 2 stores on Friday and Saturday. There were no deliveries to these sites on Sunday.",2: Carrier Issues,
,,UNL,788,03:00.0,05:00.0,phone,carrier missed the delivery during the night- they had a driver called in sick - ETA will be 12 noon-,NULL,2: Carrier Issues,
,,UNL,707,56:00.0,56:00.0,day supply,unl 707,Hilco was helping Eagle Selma for that site but was two hours late.,2: Carrier Issues,
,,UNL,568,56:00.0,59:00.0,phone,outage 10:30AM their time-ETA12noon  per carrier no reason was given,NULL,2: Carrier Issues,
,,UNL,509,29:00.0,50:00.0,Email, EMAIL FROM SITE:  called 2 times when the gas was low voice mailed but no response since 1 :45 pm . now at 3 :20 pm we ran out of gas .,Delivery arrived at 4:50 PM,2: Carrier Issues,
,,UNL,499,07:00.0,06:00.0,phone,per carrier will try to move up the load,Closed by ppallas,2: Carrier Issues,
,,UNL,400,51:44.0,00:00.0,site called,"Site ran out, Carrier is attempting to get there as quickly as they can.","Sales were not up, site was out 6hrs.",2: Carrier Issues,
,,PNL,875,05:31.0,00:00.0,site called in,Site bagged premium pump. Carrier was trying to get a truck to that site sooner., Carrier was trying to get a truck to that site sooner.,2: Carrier Issues,
,,UNL,800,26:00.0,20:00.0,site called,"Site stopped pumping, Carrier on their way now.",NULL,2: Carrier Issues,
,,UNL,722,47:10.0,01:10.0,phone,Carrier stated this they were short drivers going into the week. They received a load at 3AM in the morning.,NULL,2: Carrier Issues,
,,UNL,742,42:15.0,53:15.0,8/21/2017 23:40,UNL/744.. ETA 1.5 HRS...RC,Carrier Error.,2: Carrier Issues,
,,UNL,302,21:00.0,22:41.0,email,U - t1 - 302  t2 - 129 eta 10:30,Sales spike due to eclipse traffic. Site only reports readings 1 time a day.,3: Unpredictable Sales,
,,UNL,522,15:18.0,20:00.0,SITE CALLED,"Order was called in too late, Carrier had to push the load for the morning of 8/22 instead of night of 8/21.",The site was on credit hold and was not released until 8/21 21:00,4: Dealer Order Error,
,,UNL,303,00:18.0,30:00.0,site called in,Carrier cannot drop a load until site resolves a maintenance issue.,complete,8: Maintenance,
,,DSL,800,39:44.0,45:00.0,site called,"Could not connect to carrier, emailed eta and advised Carrier that Site stopped pumping dsl. Site stated carrier is 3 hours late on their delivery.",long lines and multiple racks,21: Extraordinary Event,
,,ULP,183,05:00.0,06:00.0,email,"eta 2.5 hours. Carrier did not drop any fuel before the run out because they said ""there was no allocation for the midgrade"". Carrier did not follow the process for the supply exception form. Carrie issue","eta 2.5 hours. Carrier did not drop any fuel before the run out because they said ""there was no allocation for the midgrade"". Carrier did not follow the process for the supply exception form. Carrie issue",2: Carrier Issues,
,,UNL,447,58:00.0,58:00.0,site called,"Carrier is on his way, traffic.",NULL,2: Carrier Issues,
,,UNL,315,10:00.0,10:00.0,phone,"Carrier advised traffic bad due to eclipse yesterday, truck is running behind.",truck is running behind.,2: Carrier Issues,
,,UNL,798,32:02.0,51:01.0,Supply Team,Carrier stated this site had a sales spike. The TM has been called and this site will be pulled form Kenan ASAP.,NULL,2: Carrier Issues,
,,UNL,499,12:35.0,10:35.0,csr,"csr clld in out of reg/492/1892 gallons, clld Coastal and talked w/Paul eta approx 1130pm  unknown reason for outage at this time.",NULL,2: Carrier Issues,
,,PNL,849,15:18.0,15:18.0,csr,"csr clld in out of pnl/13""-849 gallons, clld KAG and talked w/David who states that this morings readings were approx 3000 for pnl shouldn't be out, he is looking for driver now  and w/reply to an email sent w/eta, this eta is pending.",site sent end inventory of 3000 gallons,1: Bad Sticks,
,,ULP,400,00:52.0,42:00.0,csr,"csr clld in out of mid/6"" clld Advantage and talked w/Jason, eta approx 2 hrs he is going to try and move load up if possible, unknown reason for outage at this time",NULL,2: Carrier Issues,
,,UNL,500,16:00.0,45:00.0,Site emailed,no volume give. will be putting in 500 gallons. carrier was behind.,NULL,2: Carrier Issues,
,,DSL,705,17:00.0,19:00.0,email,"St2723872 located in Hemingway, SC is low in Diesel.  store at 723 GALS. store has bagged the diesel so it won't burn out the motor if someone tries to get diesel.",There was no allocation for diesel on the 22nd,18: Terminal Issue,
,,UNL,522,05:08.0,52:00.0,8/23/2017 16:05,522/UNL.. CALLED STAR ETA GIVEN 45 MINUTES.. RC,NULL,2: Carrier Issues,
,,UNL,498,00:00.0,16:00.0,Phone,498/UNL... ALLOCATION ISSUES AT TERMINAL ETA GIVEN 830 PM.. RC,NULL,20: Allocation,
,,UNL,383,45:00.0,45:00.0,8/23/2017 20:00,400/UNL.... CALLED KENAN ETA 10PM.. RC,400/UNL.... CALLED KENAN ETA 10PM.. RC,2: Carrier Issues,
,,DSL,397,34:58.0,00:00.0,csr,"csr clldin out of dsl/397 gallons, clld Eagle and talked w/Ernie eta approx 2.5 hrs  unknown reason for outage at this time",NULL,2: Carrier Issues,
,,UNL,400,00:45.0,22:00.0,DMB,"carrier ran out of time, carrier error","carrier ran out of time, carrier error",2: Carrier Issues,
,,UNL,826,47:45.0,00:00.0,CSR,"csr clld in out of reg/826 gallons, clld KAG and talked w/Carmen driver heading to rack now eta approx 40 minutes, unknown reason for outage at this time.",carrier must not be watching the Day supply cause site sticks come in every day and on time,2: Carrier Issues,
,,DSL,442,17:52.0,30:52.0,Phone,"Rick at Klemm advised load should have had DSL on it, but it was ran as a full load of UNL. Dispatch error","Complete, verified",2: Carrier Issues,
,,DSL,414,43:00.0,42:00.0,phone,"ETA - 1.5 HOURS - THIS MORNING THEY HAD GIVEN US AN ETA OF ""A COUPLE HOURS"" - THEIR DISPATCHERS ACTED CLUELESS AS TO WHAT HAPPENED TO THE ORIGINAL ETA.  DSL#1-535 DSL#2-533",Pope is not a good carrier.,2: Carrier Issues,
,,UNL,964,59:00.0,06:00.0,Phone,Call Center Rep taking call did not obtain reason for outage...TLD,carrier issue,2: Carrier Issues,
,,DSL,451,30:18.0,24:00.0,Site emailed,sales spike in DSL,NULL,3: Unpredictable Sales,
,,UNL,1000,04:07.0,51:00.0,phone,ETA 1 hours- no reason was given,NULL,2: Carrier Issues,
,,UNL,506,05:43.0,07:43.0,phone,no reason was given,NULL,2: Carrier Issues,
,,UNL,593,07:41.0,14:41.0,phone,low unl - 593  ETA - 1.5 HOURS - truck is on the way,NULL,2: Carrier Issues,
,,UNL,283,09:03.0,14:03.0,phone,UNL-283 no reason was given,NULL,2: Carrier Issues,
,,UNL,566,54:00.0,30:00.0,EMAIL,down to 9in for regular fuel. Eagel transprot was given a reading this morning of 21in.  ETA within the hour.  UNL 566,dispatch error,2: Carrier Issues,
,,UNL,900,20:00.0,30:00.0,FUEL PRICING,NULL,Site did not put sticks in correctly,1: Bad Sticks,
,,UNL,500,26:40.0,39:00.0,phone,hurricane out.,NULL,21: Extraordinary Event,
,,UNL,400,51:35.0,30:00.0,phone,unl 400  hurrcane .,NULL,21: Extraordinary Event,
,,UNL,684,05:00.0,08:00.0,csr,"csr clld in out of reg/684 gallons, clld PTL and talked w/Brian eta approx 1-1.5 hrs, unknown reason for outage at this time.",JP,2: Carrier Issues,
,,UNL,505,01:19.0,09:00.0,csr,"csr clld in out of reg 505/505 gallons, clld Pope and talked w/Shauna eta approx 1 hrs  unknown reason for outage at this time.",JP,2: Carrier Issues,
,,UNL,294,38:56.0,38:56.0,csr,"csr clld in out of reg/294 gallons, clld Pope and talked w/Chris eta approx within the hr  unknown reason for run out at this time.",JP,2: Carrier Issues,
,,UNL,334,48:32.0,40:00.0,csr,"csr clld in out of reg/334 gallons, clld JOC and left a vc mssg for eta call back and sent email as well.  hurricane area",NULL,21: Extraordinary Event,
,,UNL,685,52:22.0,36:00.0,csr,"csr clld in out of reg/685 gallons, i clld Bay and talked w/Nathan no eta at this time it is on their board for delivery for due to the hurricane eta's are mostly invalid at this time  out due to hurricane weather delay",NULL,21: Extraordinary Event,
,,UNL,249,54:56.0,54:56.0,csr,"csr clld in out of reg/249 gallons, clld Pope and talked w/Chris eta approx 1.5 hrs   unknown reason for outage at this time",JP,2: Carrier Issues,
,,UNL,667,22:06.0,55:00.0,site called,"Site ran out, emailed carrier for an ETA.",NULL,21: Extraordinary Event,
,,DSL,570,38:00.0,00:00.0,Supply Team,Pope is falling behind. Multiple sites low.,#longoutage,2: Carrier Issues,
,,UNL,349,47:12.0,13:12.0,site emailed,Bad readings and oversell. Selma call center did not build load when they realized none was built.,legit time,2: Carrier Issues,
,,PNL,386,30:57.0,38:00.0,site called in,"Carrier is attempting a sooner time of delivery, eta at this time 1pm.",JP,2: Carrier Issues,
,,UNL,1543,48:04.0,00:00.0,site called in,Site has shut down their pumps.,site have been sending in bad sticks,1: Bad Sticks,
,,UNL,984,06:44.0,57:10.0,site called,"Carrier had trouble loading at the terminal, will attempt to get to the site ASAP. 1500 gallons of UNL was diverted to splash site until original truck made drop. Site did stop pumping.",NULL,2: Carrier Issues,
,,UNL,500,05:17.0,48:00.0,SITE CALLED,"Site had to stop pumping, Carrier in route.",NULL,2: Carrier Issues,
,,UNL,400,02:15.0,18:00.0,site called,"Carrier issue, had to switch trucks and are in route to site.",NULL,2: Carrier Issues,
,,UNL,648,00:39.0,00:00.0,phone,no reason provided from carrier eta 1.5 hours,NULL,2: Carrier Issues,
,,UNL,382,37:00.0,37:00.0,phone,382 unl. carrier no answering,JP,2: Carrier Issues,
,,UNL,608,03:39.0,12:49.0,phone,Carrier stated they just did not have the drivers to get to this site. Mapco has forfeited most of here sites but 2. This is now a Penn Birmingham site now.,NULL,2: Carrier Issues,
,,UNL,127,21:34.0,54:00.0,phone,127 on the unl. hurricane harvy,Hurricane,21: Extraordinary Event,
,,UNL,710,37:44.0,37:00.0,phone,no reason provided. unl is 711 prm is 417,JP,2: Carrier Issues,
,,UNL,755,30:00.0,50:00.0,fuel pricing,NULL,long wait time at rack,18: Terminal Issue,
,,UNL,359,26:03.0,26:03.0,phone,359 on the unl pope is falling apart.,JP,2: Carrier Issues,
,,UNL,622,23:17.0,01:17.0,pphone,900 unl no reason stated from the carrier,NULL,3: Unpredictable Sales,
,,UNL,478,08:57.0,19:00.0,carrier,"Scott w/HOC clld in to advise site is out of reg/478 gallons, the site never chngd their price and now they are selling at 2.09$ when competitors are selling at 2.30$, sales have increased causing out, eta approx 1hr",NULL,3: Unpredictable Sales,
,,UNL,769,47:00.0,28:00.0,csr,"csr clld in out of reg/769 gallons, clld Eagle and talked w/Larry eta approx midnight 1hr","csr clld in out of reg/769 gallons, clld Eagle and talked w/Larry eta approx midnight 1hr",2: Carrier Issues,
,,UNL,6,21:12.0,17:12.0,08/25/17 10:00pm,"6""/unl..no atg.. waiting on eta.. rc",NULL,2: Carrier Issues,
,,UNL,473,50:00.0,00:00.0,8/25/2017 23:35,472/UNL.. CALLED EAGLE ETA GIVEN 1.5 HRS.. RC,carrier issue. Could not get information from carrier,2: Carrier Issues,
,,UNL,568,04:57.0,46:00.0,CSR,"CSR called in out of reg/568 gallons, clld JOC no answer, email sent for eta pending  out due to hurricane harvey.",NULL,21: Extraordinary Event,
,,PNL,496,01:39.0,14:00.0,8/26/2017 9:01,496/prem.. weather issues.. rc,NULL,21: Extraordinary Event,
,,UNL,723,15:00.0,12:00.0,Supply Team,Eamailed carrier. Carrier stated this was a sales increase due to panic buying.,Eamailed carrier. Carrier stated this was a sales increase due to panic buying.,3: Unpredictable Sales,
,,UNL,433,01:27.0,36:27.0,site called in,"Site bagged up their pumps. Carrier did not answer call, emailed for ETA.",NULL,2: Carrier Issues,
,,UNL,454,04:00.0,05:00.0,Supply team,Emailed,CARRIER ISSUE,2: Carrier Issues,
,,UNL,467,22:44.0,33:00.0,Phone,Carrier running behind,JP,2: Carrier Issues,
,,UNL,294,34:00.0,34:00.0,phone,Carrier running behind,JP,2: Carrier Issues,
,,UNL,695,35:28.0,00:00.0,site called in,"Site bagged pumps, Carrier has this site scheduled as the second load on this shift.",JP,2: Carrier Issues,
,,UNL,494,05:03.0,11:03.0,phone,495 on the unl. no reason provided,NULL,2: Carrier Issues,
,,UNL,413,39:12.0,39:12.0,phone,unl is 414 and no reason provided.  pope cause its pope,JP,2: Carrier Issues,
,,UNL,699,46:12.0,48:00.0,phone,carrier is running behind,NULL,2: Carrier Issues,
,,UNL,600,47:34.0,47:34.0,phone,unl is 600 due to hurricane,NULL,21: Extraordinary Event,
,,UNL,746,34:09.0,36:00.0,phone,no allocation,Major allocation issues preventing loading,20: Allocation,
,,UNL,522,52:13.0,57:00.0,08/26/2017 852 pm,521/unl.. per Julie no allocation until tomorrow morning.. rc,NULL,20: Allocation,
,,UNL,577,15:00.0,48:44.0,site,"Carrier stated it was bad weather with the Hurricane. Also, the Delek terminal had a power outage. Bossier Teppco also had long line for the past week.",NULL,21: Extraordinary Event,
,,DSL,739,33:00.0,33:00.0,8/26/2017 22:00,"DSL/739.... NO ETA AND NO REASON WHY SITE IS OUT ,, THIS WAS ALSO CALLED IN BY VALERIE YESTERDAY FOR LOW FUEL AND THEY HAD INFORMED HER OF AN ASAP DELIVERY.. RC",JP #longoutage,2: Carrier Issues,
,,UNL,601,43:41.0,30:00.0,Days of Supply,Increase in sales due to panic buying.,JP,3: Unpredictable Sales,
,,UNL,500,40:27.0,40:27.0,site,eta within the hour,NULL,20: Allocation,
,,UNL,400,29:44.0,39:44.0,site,28/87  eta 3pm or sooner,NULL,2: Carrier Issues,
,,DSL,898,15:00.0,08:19.0,site,Carrier stated this site was supposed to be ran by Penn but they were a no show yesterday and today so far - Florida Rock stated they will try getting something to them within the next hour.,NULL,2: Carrier Issues,
,,UNL,641,00:00.0,00:00.0,Supply team,pope behind from panic buying.,JP,21: Extraordinary Event,
,,UNL,416,12:00.0,12:00.0,phone,no reason was given - did not know why the run out,no reason was given - did not know why the run out,2: Carrier Issues,
,,UNL,531,14:31.0,00:00.0,phone,unl 491  no reason was provided,NULL,2: Carrier Issues,
,,UNL,349,20:00.0,51:33.0,site called,349/UNL.. ETA 25 MINUTES ...RC,time legit,2: Carrier Issues,
,,DSL,203,16:00.0,23:00.0,08/28/2017 6:30AM,DSL/203.. ETA 1 HOUR...RC,carrier running behind,2: Carrier Issues,
,,PNL,592,06:18.0,42:18.0,8/28/2017 6:42,595/prem... 1 HOUR ETA..RC,JP,2: Carrier Issues,
,,UNL,787,10:00.0,54:46.0,email,u 787,NULL,2: Carrier Issues,
,,UNL,797,24:00.0,18:43.0,email,u - 767,NULL,2: Carrier Issues,
,,ULP,149,32:06.0,32:06.0,site called in,"Site stopped pumping, ETA remains the same from when site called an hour ago.",Major allocation issues,20: Allocation,
,,DSL,243,05:00.0,36:00.0,phone,short on drivers - eta 2/3 hours,JP,2: Carrier Issues,
,,UNL,615,07:00.0,05:00.0,phone,short drivers - ETA 30 minutes,JP,2: Carrier Issues,
,,UNL,560,40:23.0,23:00.0,phone,unl is 560 prm is at 496. tx is still backed up due to harvey,NULL,21: Extraordinary Event,
,,UNL,427,37:00.0,05:41.0,EMAIL,second time this site ran out of fuel.  UNL 418,JP,2: Carrier Issues,
,,UNL,508,56:31.0,46:31.0,phone,550 on the unl. sales increase,NULL,3: Unpredictable Sales,
,,DSL,626,25:04.0,30:00.0,dealer,carrier is Elite  626/diesel  eta 1 hour,NULL,2: Carrier Issues,
,,UNL,597,47:47.0,35:00.0,phone,597 on the unl. no reason was provided.,NULL,2: Carrier Issues,
,,UNL,749,35:45.0,50:00.0,site,854/87  no product available until midnight,NULL,20: Allocation,
,,UNL,338,03:00.0,54:00.0,phone,Mansfield advised the Supply Team has shut down deliveries to the region due to flooding from Harvey,Mansfield advised the Supply Team has shut down deliveries to the region due to flooding from Harvey,21: Extraordinary Event,
,,PNL,499,59:00.0,50:00.0,NWF,NULL,NULL,2: Carrier Issues,
,,UNL,403,05:00.0,02:00.0,email,Store emailed dispatch.  Unl 404,problems at the rack,18: Terminal Issue,
,,DSL,197,02:45.0,00:00.0,Phone,"Klemm did not answer phone, no reason for outage provided...TLD",NULL,2: Carrier Issues,
,,UNL,284,30:00.0,28:16.0,Phone,No reason for outage provided by carrier...TLD,JP,2: Carrier Issues,
,,UNL,1554,09:00.0,09:58.0,phone,Hurricane Harvey - No ETA's provided at this time.,NULL,21: Extraordinary Event,
,,PNL,500,13:45.0,02:00.0,Phone,Hurricane Harvey - No ETA's provided at this time,NULL,21: Extraordinary Event,
,,UNL,386,15:43.0,09:00.0,phone,Hurricane Harvey No ETAs at this time,NULL,21: Extraordinary Event,
,,UNL,359,21:00.0,21:33.0,Phone,Hurricane Harvey - No ETA's at this time,NULL,21: Extraordinary Event,
,,UNL,374,30:00.0,30:00.0,fuel pricing,NULL,site called in at 3:15pm informing us they were low and they ran out 3 hours later.  This is one of out hot sites and they are an active ATG and site called a head of time to avoid outage.,2: Carrier Issues,
,,UNL,249,32:44.0,44:00.0,Phone,"Hurricane Harvey - unable to deliver at this time, no ETA provided",NULL,21: Extraordinary Event,
,,UNL,284,59:00.0,27:20.0,email,UNL 934,JP,2: Carrier Issues,
,,UNL,770,15:27.0,40:27.0,site,out of regular due to no allocation,NULL,21: Extraordinary Event,
,,UNL,445,02:00.0,00:00.0,site,444/87 eta 15 minutes driver is in Cape Coral,racks were down.,18: Terminal Issue,
,,UNL,748,10:47.0,30:00.0,site,748/87  in route per TMW,delays at rack,18: Terminal Issue,
,,UNL,400,42:03.0,46:03.0,site,200  400  eta 1 hour,NULL,21: Extraordinary Event,
,,UNL,956,34:13.0,34:00.0,site,956/87  eta within the hour,long lines at rack,18: Terminal Issue,
,,UNL,168,18:17.0,18:17.0,site,68/87,NULL,21: Extraordinary Event,
,,UNL,826,30:21.0,20:00.0,site,csr alone so couldn't check and doesn't poll  eta about an hour,delays at rack,18: Terminal Issue,
,,UNL,400,13:09.0,30:09.0,csr,"csr clld in out of reg/5' clld Solar and talked w/Dave outage due to possible increase in sales, per Dave at 6am Tue 8.29 site had 5500 gallons, possible bad sticks or sales increase  he has moved load up to first out avail driver eta approx 2-3 hrs",NULL,1: Bad Sticks,
,,UNL,350,11:33.0,35:00.0,csr,"csr clld in out of reg/350 gallons, clld Eagle and talked w/Ernie eta approx 2-3hrs earliest driver available",Supply constraints from Hurricane Harvey,21: Extraordinary Event,
,,DSL,335,05:09.0,30:09.0,phone,out of Diesel approx. eta within 2 hours - product limitation - Coastal San Antonio - Hurricane Harvey,NULL,21: Extraordinary Event,
,,DSL,522,35:16.0,54:00.0,phone,out of diesel 522 gallons - per email allocation issues at Chattanooga,"out of diesel 522 gallons - per email allocation issues at Chattanooga, approx. ETA 2 hours.  Time Legit",21: Extraordinary Event,
,,UNL,705,44:52.0,05:19.0,Site called,Supply Disruption,NULL,6: Supply Disruption,
,,UNL,302,02:16.0,46:03.0,Site called,Carrier stated they did not have any drivers to run this load. He is trying to have a driver come in to run load. Other carriers were called in the Birmingham market none of which had capacity.,NULL,2: Carrier Issues,
,,UNL,414,31:44.0,50:00.0,phone,"Hurricane Harvey - no supply available, carrier unable to provide ETA at this time",NULL,21: Extraordinary Event,
,,UNL,577,34:08.0,18:00.0,phone,"Hurricane Harvey - unable to reach carrier by phone, no supply in region, email sent requesting ETA no response",NULL,21: Extraordinary Event,
,,DSL,160,25:47.0,57:00.0,phone,Hurricane Harvey - no supply,NULL,21: Extraordinary Event,
,,UNL,344,01:03.0,29:13.0,Site called,"Carrier stated they fell behind with drivers calling out. Also, they were stuck in traffic they would have made it to this site before they ran out. ETA 20 minutes",NULL,2: Carrier Issues,
,,UNL,433,42:12.0,04:12.0,Site called,Supply Disruption,NULL,6: Supply Disruption,
,,UNL,593,23:03.0,02:19.0,Site called,Carrier stated the lines were 10-15 trucks deep at the terminal.,NULL,18: Terminal Issue,
,,UNL,612,08:00.0,20:29.0,Supply Team,Carrier stated because of the bad weather Hurricane Harvey is the reason this site ran out of fuel. Carrier stated they are trying to get to this site as fast as they can.,NULL,21: Extraordinary Event,
,,UNL,657,03:52.0,27:01.0,SIte called,Carrier stated they thought they made it to the site before they ran out apparently they did not Total Petroleum has confirmed that this was a 1 off situation.,NULL,2: Carrier Issues,
,,UNL,6,02:12.0,14:00.0,site mgr,"site out of unleaded at 6"" no ETA due to terminal being out of supply not sure when it will be resupplied","No delivery showing in tmw, time taken from ATG, no allocation",21: Extraordinary Event,
,,UNL,405,42:08.0,36:08.0,phone,"Harvey - out of 87 and 91, no ETA at this time","Harvey - out of 87 and 91, no ETA at this time",21: Extraordinary Event,
,,UNL,376,53:25.0,02:00.0,Phone,"Harvey - out of 87/376, no ETA at this time site ran out on 8/29, called on 8/30 @7:53A AZ","Harvey - out of 87/376, no ETA at this time site ran out on 8/29, called on 8/30 @7:53A AZ",21: Extraordinary Event,
,,UNL,320,19:21.0,44:21.0,phone,Harvey - out of 87/320 no ETA at this time Coastal San Antonio,Harvey - out of 87/320 no ETA at this time Coastal San Antonio,21: Extraordinary Event,
,,UNL,654,00:00.0,58:00.0,fuel pricing,NULL,site has pumped down to 374 recently,15: Unnecessary Shut Down,
,,DSL,1131,05:00.0,04:00.0,Email,"UNL 1,131  Terminals are backed up",JP,2: Carrier Issues,
,,UNL,127,41:46.0,07:00.0,Phone,Site out due to no supply in region,NULL,21: Extraordinary Event,
,,DSL,629,02:49.0,07:49.0,Phone,No reason provided by carrier for outage,N/A,6: Supply Disruption,
,,UNL,1430,12:41.0,12:42.0,Phone,"Out of all grads, no ETA, no supply in region",NULL,21: Extraordinary Event,
,,UNL,437,36:48.0,36:48.0,phone,pipeline is down,NULL,21: Extraordinary Event,
,,UNL,499,57:10.0,05:00.0,Phone,No notes provided by AD regarding reason for outage,Out of allocation at primary terminal.  Long lines at backup terminal.  -Note from Williams Dispatch,20: Allocation,
,,PNL,869,10:41.0,30:00.0,Phone,"Carrier did not bring PNL on previous load as expected, is running ASAP load",NULL,6: Supply Disruption,
,,UNL,7,20:09.0,05:00.0,phone,"7"" on the unl. there is no conventional available right now untill midnight",out of allocation.,20: Allocation,
,,UNL,504,16:10.0,10:00.0,phone,unl is 498  prm 504  phx issues per upt,NULL,6: Supply Disruption,
,,UNL,265,31:26.0,31:26.0,phone,265 unl. okc is behind,NULL,21: Extraordinary Event,
,,UNL,208,38:00.0,08:00.0,phone,un lis 209 and prm 604  pipeline issues,During Hurricane Harvey.  Classified as an extraordinary event,21: Extraordinary Event,
,,UNL,1043,14:17.0,38:00.0,phone,storm harvey  1044 unl mid 755 prm 759,NULL,21: Extraordinary Event,
,,DSL,98,01:00.0,05:00.0,csr,"csr clld in out of dsl 98 gallons, clld Eagle and talked w/Travis eta is anytime  driver en route",during Hurricane Harvey and Irma.  Classified as an extraordinary event,21: Extraordinary Event,
,,UNL,350,44:13.0,00:00.0,csr,"csr clld in out of reg/350 gallons, dsl/338 gallons, called Eagle and left a vc mail and sent email for eta, out due to Hurricane Harvey pipelines may be still down","csr clld in out of reg/350 gallons, dsl/338 gallons, no answer from eagle",21: Extraordinary Event,
,,UNL,1517,45:55.0,45:55.0,csr,csr clld in out of reg 1517/1365 gallons called FR and talked w/Teak early AM no allocation due to pipeline down,NULL,21: Extraordinary Event,
,,UNL,500,00:00.0,43:00.0,csr,"csr clld in out of reg/696 gallons, clld Eagle and talked w/Gamble no fuel to pull due   to Pipeline is down unknown when Pipeline w/resupply","csr clld in out of reg/696 gallons, clld Eagle and talked w/Gamble no fuel to pull due   to Pipeline is down unknown when Pipeline w/resupply",21: Extraordinary Event,
,,DSL,499,05:41.0,23:00.0,CSR,"CSR clld in out of dsl/ 499 gallons, and reg is at 1011 gallons  clld TTE no answer no vc mssg option, sent back up email req  eta??  out possible due to pipeline down",NULL,21: Extraordinary Event,
,,DSL,426,20:52.0,20:52.0,csr,"csr clld in out of dsl/426 gallons, out due to pipeline down  talked w/Bill at FR no eta at this time",NULL,21: Extraordinary Event,
,,ULP,149,17:02.0,17:02.0,csr,"Site needs midgrade out at 149 gallons, called KAG and talked w/Angel no load has  Been planned for this site, site was at 1000 gallons on 8.28.2017 and no loads since  Request Angela send a compartment of midgrade to site asap. No eta at this time  She w/reply to this email.",NULL,18: Terminal Issue,
,,UNL,681,19:48.0,18:00.0,csr,"csr clld in out of reg/698/1090 gallons, clld Star and talked w/Jake eta anyminute  out due to delays at rack caused by pipeline issue",NULL,21: Extraordinary Event,
,,UNL,778,49:41.0,58:00.0,CSR,"csr clld in out of reg 778/615 gallons, out due to hurrican harvey and pipeline down  did email TTE",NULL,21: Extraordinary Event,
,,UNL,676,57:35.0,45:00.0,csr,"csr clld in out of reg/676 gallons, out due to pipeline down   hurricane Harvey",NULL,21: Extraordinary Event,
